epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,547.715,1.00353,1.0167,0.89106,0.84924,0.80421,0.89633,0.64081,1.13392,0.8709,0.97102,0.000132025,0.000132025,0.000132025
145,551.673,1.00816,1.0393,0.88147,0.83868,0.82085,0.89297,0.63442,1.14112,0.88076,0.97475,0.0001312,0.0001312,0.0001312
146,556.553,1.03712,1.09883,0.88426,0.83601,0.82144,0.89226,0.64266,1.14088,0.87753,0.97356,0.000130375,0.000130375,0.000130375
147,559.794,1.01064,1.02126,0.89979,0.87113,0.8019,0.89619,0.63731,1.13749,0.86798,0.97034,0.00012955,0.00012955,0.00012955
148,563.149,0.97762,1.00043,0.88003,0.83387,0.79131,0.89271,0.62968,1.1539,0.86869,0.97799,0.000128725,0.000128725,0.000128725
149,566.353,1.01532,1.02328,0.88428,0.80524,0.81546,0.89794,0.63776,1.1286,0.85866,0.97184,0.0001279,0.0001279,0.0001279
150,570.978,1.02384,1.05789,0.88394,0.83066,0.81227,0.90542,0.65006,1.12294,0.85687,0.96849,0.000127075,0.000127075,0.000127075
151,574.568,1.02272,1.05401,0.88134,0.82874,0.81161,0.9033,0.6486,1.13074,0.86345,0.96677,0.00012625,0.00012625,0.00012625
152,577.748,0.98042,0.98039,0.87301,0.84257,0.82617,0.91246,0.64763,1.13475,0.86189,0.97005,0.000125425,0.000125425,0.000125425
153,581.216,1.00128,1.01463,0.88617,0.85515,0.80598,0.90751,0.64477,1.13724,0.86072,0.97421,0.0001246,0.0001246,0.0001246
154,585.958,1.03647,1.05139,0.89589,0.81812,0.82713,0.90097,0.63135,1.13727,0.86442,0.9734,0.000123775,0.000123775,0.000123775
155,589.551,0.92751,0.95278,0.87527,0.85833,0.81213,0.8979,0.64285,1.13478,0.86369,0.98014,0.00012295,0.00012295,0.00012295
156,592.766,0.99038,1.01348,0.88103,0.85582,0.80182,0.90014,0.64123,1.13202,0.85329,0.97875,0.000122125,0.000122125,0.000122125
157,595.941,1.00956,1.04628,0.87587,0.85739,0.80859,0.90233,0.64345,1.12918,0.84544,0.9772,0.0001213,0.0001213,0.0001213
158,600.516,0.95078,0.97732,0.87298,0.84973,0.81846,0.9072,0.65219,1.12139,0.84987,0.96646,0.000120475,0.000120475,0.000120475
159,604.32,0.99334,0.96752,0.87988,0.84992,0.80341,0.90298,0.64777,1.10968,0.84358,0.96552,0.00011965,0.00011965,0.00011965
160,607.406,0.96349,0.98967,0.86875,0.81451,0.8312,0.90104,0.65061,1.11029,0.8515,0.97238,0.000118825,0.000118825,0.000118825
161,610.673,0.95741,0.96254,0.88239,0.79912,0.81474,0.90056,0.64954,1.11643,0.85741,0.97313,0.000118,0.000118,0.000118
162,614.903,1.00127,1.00781,0.88594,0.84726,0.80001,0.9033,0.64573,1.10909,0.83719,0.97496,0.000117175,0.000117175,0.000117175
163,618.956,0.97037,0.99561,0.8721,0.87471,0.79906,0.90526,0.6514,1.10639,0.8312,0.97356,0.00011635,0.00011635,0.00011635
164,622.234,0.94792,0.96036,0.87281,0.85989,0.81722,0.90742,0.64886,1.11477,0.82835,0.97298,0.000115525,0.000115525,0.000115525
165,625.601,0.96314,0.98146,0.87448,0.87951,0.79547,0.9126,0.66077,1.11368,0.8263,0.96939,0.0001147,0.0001147,0.0001147
166,629.502,0.92335,0.91522,0.87158,0.83811,0.83021,0.90664,0.66041,1.10017,0.82904,0.96764,0.000113875,0.000113875,0.000113875
167,633.698,0.98977,0.98321,0.87845,0.85143,0.82827,0.90386,0.65668,1.09672,0.83654,0.9645,0.00011305,0.00011305,0.00011305
168,637.22,1.00665,1.00861,0.88179,0.87337,0.80552,0.91002,0.65328,1.10328,0.83186,0.96702,0.000112225,0.000112225,0.000112225
169,640.398,0.98456,0.99558,0.87735,0.88523,0.81044,0.91033,0.66386,1.09189,0.81812,0.96153,0.0001114,0.0001114,0.0001114
170,644.428,0.97349,0.96187,0.87115,0.87812,0.81144,0.91532,0.66595,1.09912,0.81746,0.96239,0.000110575,0.000110575,0.000110575
171,648.767,0.935,0.95276,0.87972,0.88595,0.80352,0.90975,0.65639,1.11022,0.81879,0.96466,0.00010975,0.00010975,0.00010975
172,652.163,0.95882,0.95834,0.86749,0.87355,0.81014,0.91191,0.65801,1.11322,0.82964,0.96947,0.000108925,0.000108925,0.000108925
173,655.376,0.91724,0.92667,0.87842,0.85557,0.82414,0.9113,0.66124,1.10417,0.83695,0.96381,0.0001081,0.0001081,0.0001081
