epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,7701.71,0.3677,0.2526,0.94832,0.99492,0.99428,0.99495,0.93848,0.40778,0.24061,0.82202,0.00637,0.00637,0.00637
112,7770.73,0.37258,0.25888,0.95269,0.99554,0.99391,0.99485,0.93941,0.41322,0.23901,0.82712,0.006337,0.006337,0.006337
113,7839.47,0.37006,0.25635,0.94719,0.99712,0.99086,0.99494,0.93567,0.4122,0.23976,0.82556,0.006304,0.006304,0.006304
114,7909.49,0.36427,0.25021,0.94538,0.99593,0.99354,0.9949,0.9367,0.41078,0.2394,0.82115,0.006271,0.006271,0.006271
115,7978.67,0.37388,0.25791,0.94651,0.99715,0.99289,0.99475,0.93022,0.41391,0.23948,0.82095,0.006238,0.006238,0.006238
116,8047.64,0.36805,0.25353,0.95491,0.99898,0.9926,0.99497,0.93702,0.40191,0.23246,0.81206,0.006205,0.006205,0.006205
117,8118.4,0.36362,0.24465,0.94602,0.99694,0.99339,0.99498,0.94134,0.39814,0.23004,0.80702,0.006172,0.006172,0.006172
118,8187.37,0.36763,0.25035,0.94863,0.99803,0.99086,0.99499,0.94326,0.40622,0.2306,0.821,0.006139,0.006139,0.006139
119,8256.32,0.37428,0.24922,0.94938,0.9949,0.99391,0.99495,0.94453,0.40036,0.22988,0.81429,0.006106,0.006106,0.006106
120,8326.06,0.36161,0.24393,0.95305,0.99491,0.99266,0.99496,0.94406,0.40356,0.22826,0.82035,0.006073,0.006073,0.006073
121,8395.69,0.36287,0.24931,0.94609,0.99492,0.99387,0.99497,0.94772,0.39511,0.2408,0.80221,0.00604,0.00604,0.00604
122,8464.5,0.36001,0.24443,0.9463,0.99492,0.9945,0.99496,0.94606,0.39399,0.22637,0.8022,0.006007,0.006007,0.006007
123,8534.44,0.35691,0.24345,0.94586,0.99571,0.99086,0.99493,0.94627,0.3899,0.22171,0.79984,0.005974,0.005974,0.005974
124,8604.12,0.36328,0.24641,0.94729,0.99269,0.99594,0.99497,0.94542,0.39228,0.22078,0.79968,0.005941,0.005941,0.005941
125,8673.01,0.35872,0.24265,0.94526,0.99582,0.99492,0.99496,0.94851,0.39743,0.22193,0.80622,0.005908,0.005908,0.005908
126,8742.24,0.35795,0.24351,0.94847,0.99694,0.99082,0.99497,0.95053,0.39213,0.22845,0.80309,0.005875,0.005875,0.005875
127,8812.48,0.35692,0.24332,0.94898,0.99173,0.99695,0.99493,0.94773,0.39338,0.23771,0.80579,0.005842,0.005842,0.005842
128,8881.61,0.35926,0.2424,0.94232,0.99391,0.99457,0.9949,0.94699,0.39008,0.23573,0.80011,0.005809,0.005809,0.005809
129,8951.44,0.35859,0.24185,0.94043,0.99657,0.98985,0.9949,0.94679,0.39028,0.24036,0.80031,0.005776,0.005776,0.005776
130,9022.29,0.35476,0.23796,0.94315,0.99771,0.98985,0.99494,0.94351,0.39498,0.23543,0.80829,0.005743,0.005743,0.005743
131,9092,0.35429,0.24215,0.94267,0.99796,0.99369,0.99498,0.94595,0.39173,0.23743,0.80301,0.00571,0.00571,0.00571
132,9161.29,0.35752,0.24549,0.94429,0.99593,0.99437,0.99494,0.94728,0.39336,0.22781,0.8026,0.005677,0.005677,0.005677
133,9232.31,0.35043,0.23776,0.94562,0.99447,0.99188,0.99496,0.94583,0.39174,0.22353,0.80277,0.005644,0.005644,0.005644
134,9301.75,0.34545,0.23713,0.94309,0.99795,0.99085,0.99498,0.94361,0.39003,0.22391,0.79925,0.005611,0.005611,0.005611
